word num,number,word,"factor 1 - positive (happy, fun, bright vs. sad, boring, dark)","factor 2 - ordinary (cheap, basic, common vs. expensive, fancy, rare)","factor 3 - put together (organized, proper, sane vs. chaotic, scandalous, crazy)","factor 4 - little (small, quiet, thin vs. large, loud, thick)","factor 5 - smooth (soft, chewy, rounded vs hard, crunchy, angular)","1 : [-small-, -large-]","2 : [-angular-, -rounded-]","3 : [-fast-, -slow-]","4 : [-bright-, -dark-]","5 : [-sophisticated-, -rugged-]","6 : [-short-term-, -long-term-]","7 : [-happy-, -sad-]","8 : [-masculine-, -feminine-]","9 : [-few-, -many-]","10 : [-low-tech-, -high-tech-]","11 : [-cheap-, -expensive-]","12 : [-colorful-, -monochrome-]","13 : [-sharp-, -blunt-]","14 : [-old-, -new-]","15 : [-emotional-, -logical-]","16 : [-angry-, -calm-]","17 : [-linear-, -circular-]","18 : [-loud-, -quiet-]","19 : [-bad-, -good-]","20 : [-friendly-, -hostile-]","21 : [-social-, -recusive-]","22 : [-industrial-, -domestic-]","23 : [-angelic-, -demonic-]","24 : [-organized-, -chaotic-]","25 : [-human-, -animal-]","26 : [-lewd-, -tasteful-]","27 : [-proper-, -scandalous-]","28 : [-healthy-, -sick-]","29 : [-near-, -far-]","30 : [-important-, -irrelevant-]","31 : [-dead-, -alive-]","32 : [-weird-, -normal-]"
W#105,105, sesh,0.6,0.55,0.41,0.6,0.69,0.353,0.656,0.392,0.379,0.457,0.163,0.5,0.639,0.45,0.565,0.467,0.405,0.428,0.668,0.331,0.642,0.615,0.651,0.638,0.441,0.245,0.645,0.619,0.544,0.485,0.468,0.695,0.629,0.404,0.595,0.519,0.56
W#55,55, gub,0.34,0.77,0.33,0.33,0.69,0.48,0.785,0.783,0.748,0.838,0.24,0.652,0.255,0.485,0.257,0.191,0.619,0.856,0.209,0.316,0.503,0.793,0.368,0.59,0.327,0.565,0.569,0.692,0.681,0.753,0.278,0.698,0.737,0.398,0.868,0.222,0.29
W#81,81, mog,0.14,0.72,0.3,0.36,0.69,0.508,0.795,0.852,0.892,0.852,0.316,0.86,0.175,0.692,0.194,0.221,0.843,0.868,0.152,0.391,0.344,0.718,0.489,0.261,0.727,0.677,0.517,0.792,0.798,0.737,0.259,0.662,0.907,0.614,0.79,0.152,0.189
W#270," ""270"" ", saso,0.61,0.44,0.37,0.56,0.69,0.314,0.665,0.45,0.306,0.325,0.23,0.517,0.582,0.614,0.473,0.469,0.341,0.369,0.457,0.3,0.521,0.773,0.556,0.469,0.433,0.239,0.593,0.539,0.612,0.551,0.559,0.644,0.622,0.448,0.548,0.39,0.306
W#104,104, ses,0.51,0.52,0.41,0.72,0.69,0.235,0.564,0.337,0.467,0.306,0.223,0.586,0.736,0.484,0.526,0.523,0.592,0.374,0.612,0.468,0.607,0.683,0.785,0.453,0.532,0.384,0.597,0.567,0.543,0.574,0.404,0.69,0.783,0.449,0.595,0.333,0.302
W#374," ""374"" ", banno,0.5,0.64,0.32,0.34,0.69,0.581,0.785,0.663,0.521,0.661,0.405,0.479,0.222,0.648,0.34,0.354,0.516,0.761,0.356,0.474,0.45,0.607,0.267,0.347,0.378,0.552,0.586,0.734,0.674,0.674,0.394,0.68,0.628,0.463,0.733,0.355,0.401
W#34,34, duy,0.33,0.68,0.39,0.52,0.69,0.361,0.665,0.66,0.627,0.65,0.34,0.624,0.274,0.493,0.24,0.271,0.684,0.69,0.306,0.491,0.542,0.607,0.531,0.378,0.449,0.573,0.524,0.625,0.567,0.513,0.291,0.621,0.783,0.513,0.626,0.195,0.345
W#353," ""353"" ", lusuha,0.68,0.21,0.31,0.44,0.68,0.686,0.647,0.613,0.29,0.283,0.672,0.325,0.858,0.661,0.415,0.749,0.283,0.568,0.467,0.408,0.769,0.52,0.615,0.569,0.345,0.525,0.56,0.496,0.671,0.639,0.531,0.738,0.391,0.676,0.589,0.538,0.4
W#373," ""373"" ", balo,0.53,0.61,0.39,0.32,0.68,0.686,0.846,0.708,0.358,0.557,0.385,0.508,0.237,0.593,0.256,0.405,0.566,0.772,0.263,0.423,0.636,0.803,0.342,0.318,0.297,0.403,0.593,0.496,0.626,0.691,0.453,0.544,0.683,0.597,0.681,0.42,0.388
W#398," ""398"" ", joji,0.75,0.34,0.3,0.5,0.68,0.409,0.651,0.441,0.368,0.474,0.288,0.218,0.525,0.694,0.558,0.511,0.241,0.475,0.629,0.32,0.7,0.61,0.388,0.754,0.136,0.265,0.648,0.438,0.692,0.582,0.662,0.603,0.345,0.445,0.539,0.619,0.33
W#110,110, sheh,0.36,0.6,0.39,0.71,0.68,0.244,0.599,0.494,0.486,0.478,0.193,0.674,0.752,0.304,0.436,0.341,0.685,0.478,0.327,0.307,0.561,0.538,0.827,0.351,0.51,0.58,0.669,0.612,0.606,0.543,0.333,0.621,0.708,0.514,0.807,0.232,0.365
W#557," ""557"" ", rowlow,0.33,0.66,0.29,0.5,0.68,0.385,0.749,0.699,0.692,0.667,0.35,0.709,0.354,0.495,0.227,0.245,0.551,0.662,0.248,0.374,0.541,0.641,0.546,0.326,0.537,0.714,0.517,0.691,0.686,0.751,0.31,0.674,0.719,0.511,0.851,0.33,0.284
W#399," ""399"" ", boji,0.68,0.39,0.32,0.35,0.68,0.5,0.748,0.576,0.284,0.41,0.29,0.286,0.462,0.769,0.41,0.561,0.301,0.465,0.5,0.476,0.6,0.732,0.316,0.468,0.324,0.332,0.641,0.621,0.681,0.697,0.578,0.556,0.474,0.496,0.657,0.54,0.191
W#206,206, fewif,0.48,0.5,0.29,0.71,0.68,0.235,0.553,0.358,0.435,0.55,0.303,0.648,0.795,0.262,0.353,0.294,0.533,0.474,0.463,0.308,0.407,0.482,0.746,0.394,0.454,0.734,0.6,0.423,0.738,0.745,0.328,0.648,0.777,0.561,0.814,0.513,0.16
W#197,197, liew,0.43,0.46,0.36,0.66,0.68,0.299,0.494,0.728,0.365,0.438,0.414,0.692,0.622,0.31,0.313,0.411,0.489,0.458,0.544,0.463,0.591,0.376,0.643,0.326,0.504,0.607,0.56,0.415,0.593,0.7,0.34,0.753,0.765,0.451,0.691,0.561,0.292
W#36,36, faf,0.54,0.58,0.26,0.45,0.68,0.409,0.583,0.298,0.439,0.578,0.233,0.504,0.684,0.304,0.317,0.366,0.526,0.583,0.312,0.286,0.373,0.603,0.41,0.239,0.463,0.516,0.594,0.627,0.799,0.706,0.303,0.676,0.787,0.708,0.813,0.329,0.26
W#97,97, sah,0.38,0.56,0.52,0.62,0.68,0.319,0.503,0.586,0.428,0.404,0.212,0.764,0.674,0.366,0.358,0.43,0.667,0.46,0.296,0.301,0.709,0.633,0.647,0.439,0.522,0.431,0.623,0.492,0.555,0.568,0.449,0.514,0.626,0.541,0.714,0.469,0.5
W#269," ""269"" ", sasa,0.76,0.45,0.27,0.55,0.68,0.33,0.562,0.311,0.194,0.344,0.241,0.346,0.859,0.667,0.475,0.467,0.284,0.355,0.659,0.275,0.458,0.669,0.53,0.535,0.412,0.306,0.679,0.617,0.688,0.6,0.572,0.724,0.536,0.45,0.733,0.598,0.341
W#597," ""597"" ", spourmo,0.44,0.35,0.3,0.39,0.68,0.489,0.75,0.44,0.48,0.447,0.238,0.667,0.238,0.605,0.5,0.685,0.466,0.446,0.383,0.402,0.395,0.803,0.337,0.422,0.567,0.407,0.47,0.789,0.71,0.589,0.363,0.642,0.709,0.571,0.468,0.529,0.268
W#510," ""510"" ", buspi,0.6,0.49,0.33,0.42,0.68,0.467,0.702,0.471,0.277,0.542,0.188,0.397,0.462,0.568,0.353,0.361,0.416,0.667,0.455,0.424,0.44,0.688,0.417,0.489,0.336,0.417,0.506,0.679,0.651,0.803,0.462,0.627,0.588,0.382,0.58,0.482,0.197
W#185,185, howow,0.66,0.4,0.16,0.23,0.68,0.735,0.801,0.375,0.349,0.677,0.442,0.336,0.349,0.78,0.473,0.514,0.333,0.572,0.486,0.219,0.34,0.759,0.156,0.567,0.397,0.322,0.648,0.562,0.863,0.711,0.374,0.833,0.613,0.69,0.633,0.681,0.166
